"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-01","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","619117","","","","0"
"2001-02","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","375113","","","","0"
"2001-03","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","309619","","","","0"
"2001-04","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","382852","","","","0"
"2001-05","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","445880","","","","0"
"2001-06","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","465569","","","","0"
"2001-07","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","557740","","","","0"
"2001-08","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","337227","","","","0"
"2001-09","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","430477","","","","0"
"2001-10","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","536357","","","","0"
"2001-11","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","444619","","","","0"
"2001-12","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","448420","","","","0"
"2002-01","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","381339","","","","0"
"2002-02","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","400206","","","","0"
"2002-03","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","396556","","","","0"
"2002-04","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","301856","","","","0"
"2002-05","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","298594","","","","0"
"2002-06","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","323705","","","","0"
"2002-07","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","353165","","","","0"
"2002-08","Alberta","2016A000248","Wheat, excluding durum","Tonnes","288","units","0","v40115","6.3","128682","","","","0"
