"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","9855","","","","0"
"2001-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","7041","","","","0"
"2001-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","4949","","","","0"
"2001-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3333","","","","0"
"2001-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2654","","","","0"
"2001-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5587","","","","0"
"2001-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","12034","","","","0"
"2001-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","8039","","","","0"
"2001-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3228","","","","0"
"2001-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","8507","","","","0"
"2001-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","9033","","","","0"
"2001-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5856","","","","0"
"2002-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5550","","","","0"
"2002-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","12614","","","","0"
"2002-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","10355","","","","0"
"2002-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1777","","","","0"
"2002-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2324","","","","0"
"2002-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3158","","","","0"
"2002-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3529","","","","0"
"2002-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1696","","","","0"
"2002-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2171","","","","0"
"2002-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1416","","","","0"
"2002-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1567","","","","0"
"2002-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1546","","","","0"
"2003-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2630","","","","0"
"2003-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1547","","","","0"
"2003-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2750","","","","0"
"2003-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3753","","","","0"
"2003-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3433","","","","0"
"2003-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","4371","","","","0"
"2003-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","4489","","","","0"
"2003-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1612","","","","0"
"2003-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1496","","","","0"
"2003-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2893","","","","0"
"2003-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2725","","","","0"
"2003-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2423","","","","0"
"2004-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","7922","","","","0"
"2004-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","8993","","","","0"
"2004-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","10718","","","","0"
"2004-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1465","","","","0"
"2004-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1921","","","","0"
"2004-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1519","","","","0"
"2004-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1500","","","","0"
"2004-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","578","","","","0"
"2004-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2410","","","","0"
"2004-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","8954","","","","0"
"2004-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5745","","","","0"
"2004-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1534","","","","0"
"2005-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","1933","","","","0"
"2005-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3593","","","","0"
"2005-03","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3053","","","","0"
"2005-04","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","2062","","","","0"
"2005-05","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5000","","","","0"
"2005-06","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3719","","","","0"
"2005-07","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3232","","","","0"
"2005-08","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3962","","","","0"
"2005-09","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5237","","","","0"
"2005-10","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3529","","","","0"
"2005-11","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","6883","","","","0"
"2005-12","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","5736","","","","0"
"2006-01","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","9205","","","","0"
"2006-02","British Columbia","2016A000259","Wheat, excluding durum","Tonnes","288","units","0","v40070","1.3","3886","","","","0"
