x,y,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,STATION_NAME,DIRECTION_MAX_GUST,SNOW_ON_GROUND,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE,MIN_TEMPERATURE,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,ID,MEAN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,PROVINCE_CODE,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION,TOTAL_SNOW,TOTAL_RAIN_FLAG,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,CLIMATE_IDENTIFIER,LOCAL_DATE,MAX_TEMPERATURE_FLAG
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,1,,-2.4,-15.3,2,,3050PPF.1998.2.1,E,E,,,26.9,,0,AB,,,E,,,0,,,-8.9,,1998,3050PPF,1998-02-01 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,2,,-2.4,-15.3,2,,3050PPF.1998.2.2,E,E,,,26.9,,0,AB,,,E,,,0,,,-8.9,,1998,3050PPF,1998-02-02 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,3,,-3.8,-14.9,2,,3050PPF.1998.2.3,E,E,,,27.4,,0,AB,,,E,,,0,,,-9.4,,1998,3050PPF,1998-02-03 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,4,,0.7,-6,2,,3050PPF.1998.2.4,E,E,,,20.7,,0,AB,,,E,,,0,,,-2.7,,1998,3050PPF,1998-02-04 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,5,,1.1,-6,2,,3050PPF.1998.2.5,E,E,,,20.5,,0,AB,,,E,,,0,,,-2.5,,1998,3050PPF,1998-02-05 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,6,,-2.4,-8.6,2,,3050PPF.1998.2.6,E,E,,,23.5,,0,AB,,,E,,,0,,,-5.5,,1998,3050PPF,1998-02-06 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,7,,0,-8.3,2,,3050PPF.1998.2.7,E,E,,,22.2,,0,AB,,,E,,,0,,,-4.2,,1998,3050PPF,1998-02-07 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,8,,-1,-9,2,,3050PPF.1998.2.8,E,E,,,23,,0,AB,,,E,,,0,,,-5,,1998,3050PPF,1998-02-08 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,9,,1.1,-7.9,2,,3050PPF.1998.2.9,E,E,,,21.4,,0,AB,,,E,,,0,,,-3.4,,1998,3050PPF,1998-02-09 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,10,,-4.6,-9.4,2,,3050PPF.1998.2.10,E,E,,,25,,0,AB,,,E,,,0,,,-7,,1998,3050PPF,1998-02-10 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,11,,-2.8,-10.1,2,,3050PPF.1998.2.11,E,E,,,24.5,,0,AB,,,E,,,0,,,-6.5,,1998,3050PPF,1998-02-11 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,12,,-2.8,-8.6,2,,3050PPF.1998.2.12,E,E,,,23.7,,0,AB,,,E,,,0,,,-5.7,,1998,3050PPF,1998-02-12 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,13,,-1.4,-6.8,2,,3050PPF.1998.2.13,E,E,,,22.1,,0,AB,,,E,,,0,,,-4.1,,1998,3050PPF,1998-02-13 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,14,,-3.8,-12.5,2,,3050PPF.1998.2.14,E,E,,,26.2,,0,AB,,,E,,,0,,,-8.2,,1998,3050PPF,1998-02-14 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,15,,-3.8,-13.7,2,,3050PPF.1998.2.15,E,E,,,26.8,,0,AB,,,E,,,0,,,-8.8,,1998,3050PPF,1998-02-15 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,16,,-2.4,-13.7,2,,3050PPF.1998.2.16,E,E,,,26.1,,0,AB,,,E,,,0,,,-8.1,,1998,3050PPF,1998-02-16 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,17,,-3.8,-15.3,2,,3050PPF.1998.2.17,E,E,,,27.6,,0,AB,,,E,,,0,,,-9.6,,1998,3050PPF,1998-02-17 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,18,,-3.1,-9.4,2,,3050PPF.1998.2.18,E,E,,,24.3,,0,AB,,,E,,,0,,,-6.3,,1998,3050PPF,1998-02-18 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,19,,0,-7.1,2,,3050PPF.1998.2.19,E,E,,,21.6,,0,AB,,,E,,,0,,,-3.6,,1998,3050PPF,1998-02-19 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,20,,0,-4.9,2,,3050PPF.1998.2.20,E,E,,,20.5,,0,AB,,,E,,,0,,,-2.5,,1998,3050PPF,1998-02-20 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,21,,-2.1,-6.8,2,,3050PPF.1998.2.21,E,E,,,22.5,,0,AB,,,E,,,0,,,-4.5,,1998,3050PPF,1998-02-21 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,22,,-0.3,-10.1,2,,3050PPF.1998.2.22,E,E,,,23.2,,0,AB,,,E,,,0.8,,E,-5.2,,1998,3050PPF,1998-02-22 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,23,,-3.8,-15.3,2,,3050PPF.1998.2.23,E,E,,,27.6,,0,AB,,,E,,,0,,,-9.6,,1998,3050PPF,1998-02-23 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,24,,-3.5,-17.9,2,,3050PPF.1998.2.24,E,E,,,28.7,,0,AB,,,E,,,0,,,-10.7,,1998,3050PPF,1998-02-24 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,25,,-6.4,-18.8,2,,3050PPF.1998.2.25,E,E,,,30.6,,0,AB,,,E,,,0,,,-12.6,,1998,3050PPF,1998-02-25 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,26,,-3.1,-17,2,,3050PPF.1998.2.26,E,E,,,28.1,,0,AB,,,E,,,0,,,-10.1,,1998,3050PPF,1998-02-26 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,27,,-3.5,-17.9,2,,3050PPF.1998.2.27,E,E,,,28.7,,0,AB,,,E,,,0,,,-10.7,,1998,3050PPF,1998-02-27 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,28,,-6.8,-18.3,2,,3050PPF.1998.2.28,E,E,,,30.6,,0,AB,,,E,,,0,,,-12.6,,1998,3050PPF,1998-02-28 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,1,,-3.1,-14.9,3,,3050PPF.1998.3.1,E,E,,,27,,0,AB,,,E,,,0,,,-9,,1998,3050PPF,1998-03-01 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,2,,0,-10.9,3,,3050PPF.1998.3.2,E,E,,,23.5,,0,AB,,,E,,,0,,,-5.5,,1998,3050PPF,1998-03-02 00:00:00,E
-116.46666666666667,51.7,,E,(AE) BOW SUMMIT,,,3,,-3.5,-9.8,3,,3050PPF.1998.3.3,E,E,,,24.7,,0,AB,,,E,,,0,,,-6.7,,1998,3050PPF,1998-03-03 00:00:00,E
