Climate_ID,Mean_Temp,Min_Temp,Max_Temp,Mean_Diff_from_Normal,Snowfall,Percent_of_Normal_Snowfall,Total_Precip,Percent_of_Normal_Precip,Snow_on_Ground,Days_with_Precip,Heating_Degree_Days,Cooling_Degree_Days,Mean_Temp_Normalized,Min_Temp_Normalized,Max_Temp_Normalized,Mean_Diff_from_Normal_Normalized,Snowfall_Normalized,Percent_of_Normal_Snowfall_Normalized,Total_Precip_Normalized,Percent_of_Normal_Precip_Normalized,Snow_on_Ground_Normalized,Days_with_Precip_Normalized,Heating_Degree_Days_Normalized,Cooling_Degree_Days_Normalized,Mean_Temp_Binned,Mean_Temp_Binned_Encoded,Min_Temp_Binned,Min_Temp_Binned_Encoded,Max_Temp_Binned,Max_Temp_Binned_Encoded,Mean_Diff_from_Normal_Binned,Mean_Diff_from_Normal_Binned_Encoded,Snowfall_Binned,Snowfall_Binned_Encoded,Percent_of_Normal_Snowfall_Binned,Percent_of_Normal_Snowfall_Binned_Encoded,Total_Precip_Binned,Total_Precip_Binned_Encoded,Percent_of_Normal_Precip_Binned,Percent_of_Normal_Precip_Binned_Encoded,Snow_on_Ground_Binned,Snow_on_Ground_Binned_Encoded,Days_with_Precip_Binned,Days_with_Precip_Binned_Encoded,Heating_Degree_Days_Binned,Heating_Degree_Days_Binned_Encoded,Cooling_Degree_Days_Binned,Cooling_Degree_Days_Binned_Encoded
0,0.351884058,-8.66849711,8.602305476,1.8915,18.86153846,36.08810573,107.7979112,63.11607143,19.37792642,11.515625,519.1168116,0,0.526949715,0.626772336,0.357437228,0.684517912,0.184589183,0.058089506,0.395959465,0.167323552,0.249273857,0.569108449,0.415336914,0,"(-0.788, 0.354]",14,"(-9.3, -8.327]",19,"(8.595, 9.173]",9,"(1.858, 2.002]",32,"(18.161, 19.788]",22,"(30.214, 37.363]",7,"(106.354, 113.279]",37,"(63.031, 65.731]",6,"(18.443, 20.015]",19,"(11.429, 11.768]",35,"(497.903, 531.605]",26,"(-0.001, 0.00328]",0
1,-4.457322176,-18.16610879,8.743096234,6.969306931,4.954146341,16.72413793,5.833195021,22.02521008,6.722222222,1.784232365,683.5343096,0,0.42118276,0.449098047,0.360610863,0.928904532,0.048483947,0.026920142,0.014199961,0.0393866,0.086473352,0.061977614,0.548670723,0,"(-5.42, -4.265]",10,"(-19.687, -17.857]",12,"(8.595, 9.173]",9,"(4.807, 8.447]",40,"(4.249, 5.509]",11,"(10.523, 16.775]",4,"(2.04, 8.489]",0,"(9.374, 35.963]",0,"(6.488, 8.348]",12,"(0.594, 2.446]",0,"(669.005, 702.516]",31,"(-0.001, 0.00328]",0
2,-8.665789474,-24.72903226,4.388311688,6.291262136,6.587407407,34.56363636,7.125,35.32758621,28.44954128,2.68125,824.2276316,0,0.328627617,0.326323733,0.262447481,0.896271334,0.06446792,0.055635632,0.019036524,0.080803728,0.365969336,0.108723781,0.662765492,0,"(-9.294, -8.259]",6,"(-25.829, -24.569]",8,"(3.739, 4.741]",3,"(4.807, 8.447]",40,"(5.509, 6.688]",12,"(30.214, 37.363]",7,"(2.04, 8.489]",0,"(9.374, 35.963]",0,"(26.326, 29.497]",23,"(2.446, 3.056]",1,"(812.449, 847.712]",36,"(-0.001, 0.00328]",0
3,-12.04957265,-29.18632479,2.558974359,5.515873016,10.71282051,43.71604938,10.38529412,45.91860465,41.98717949,3.875,931.4376068,0,0.254209423,0.242940004,0.221211471,0.858953112,0.104841436,0.070367886,0.031243181,0.113779007,0.540114867,0.170933524,0.749707055,0,"(-12.906, -11.526]",3,"(-30.12, -28.838]",5,"(0.658, 2.712]",1,"(4.807, 8.447]",40,"(10.699, 11.794]",16,"(43.464, 48.065]",9,"(8.489, 10.956]",1,"(44.166, 50.503]",2,"(39.69, 77.738]",26,"(3.691, 3.945]",4,"(891.391, 941.774]",38,"(-0.001, 0.00328]",0
4,-7.284188034,-24.33162393,2.815384615,1.8008,42.97641026,87.45454545,46.65330396,72.24590164,35.67346939,10.58590308,756.8440171,0,0.359012627,0.333758154,0.226991343,0.680152668,0.420590318,0.140771904,0.167031892,0.195749402,0.458896535,0.520657968,0.60812098,0,"(-7.488, -6.566]",8,"(-24.569, -23.007]",9,"(2.712, 3.739]",2,"(1.685, 1.858]",31,"(40.008, 45.292]",30,"(83.156, 87.911]",16,"(44.152, 46.73]",17,"(71.586, 74.479]",9,"(32.965, 39.69]",25,"(10.445, 10.737]",32,"(749.607, 773.561]",34,"(-0.001, 0.00328]",0
5,-11.84816514,-27.70412844,-0.005504587,0.778947368,46.93851351,86.67226891,43.58291457,62.79166667,44.89261745,11.25125628,904.3940367,0,0.258638898,0.270667836,0.163404265,0.630972556,0.459365596,0.139512706,0.155536246,0.166313514,0.577489853,0.555331435,0.727776164,0,"(-12.906, -11.526]",3,"(-28.838, -27.314]",6,"(-7.256, 0.658]",0,"(0.7, 0.808]",23,"(45.292, 55.882]",31,"(83.156, 87.911]",16,"(41.886, 44.152]",16,"(59.366, 63.031]",5,"(39.69, 77.738]",26,"(11.04, 11.429]",34,"(891.391, 941.774]",38,"(-0.001, 0.00328]",0
6,-1.30778098,-13.05444126,9,-1.39798995,15.91420118,95.54424779,47.26276042,52.7699115,18.10423453,7.651041667,526.4455331,0,0.490449364,0.544723339,0.36640186,0.526200091,0.155744951,0.153793558,0.169313719,0.135110643,0.232889333,0.367713906,0.421280116,0,"(-1.62, -0.788]",13,"(-14.259, -12.888]",15,"(8.595, 9.173]",9,"(-1.604, -1.355]",6,"(15.262, 17.018]",20,"(93.736, 99.193]",18,"(46.73, 49.319]",18,"(50.503, 55.119]",3,"(16.833, 18.443]",18,"(7.628, 7.874]",20,"(497.903, 531.605]",26,"(-0.001, 0.00328]",0
7,-12.2350211,-30.20843882,8.502531646,-3.784693878,16.21746032,92.04504505,15.73033175,91.12389381,12.28571429,4.559241706,829.3607595,0,0.250130929,0.223819052,0.355188176,0.411331898,0.158712809,0.148161038,0.051255191,0.254526286,0.158041026,0.206591325,0.666928184,0,"(-12.906, -11.526]",3,"(-31.573, -30.12]",4,"(8.041, 8.595]",8,"(-4.901, -3.745]",1,"(15.262, 17.018]",20,"(87.911, 93.736]",17,"(15.263, 16.625]",5,"(88.898, 91.187]",16,"(11.686, 13.166]",15,"(4.4, 4.611]",7,"(812.449, 847.712]",36,"(-0.001, 0.00328]",0
8,-17.14802632,-34.49675325,3.194155844,-5.204901961,11.06015038,91.37614679,10.78141026,87.42608696,32.78504673,4.025641026,983.9019737,0,0.142081164,0.14359644,0.235529415,0.342979584,0.108240594,0.147084341,0.032726253,0.243013114,0.421740431,0.17878386,0.792252854,0,"(-23.609, -16.875]",0,"(-34.882, -33.211]",2,"(2.712, 3.739]",2,"(-12.331999999999999, -4.901]",0,"(10.699, 11.794]",16,"(87.911, 93.736]",17,"(8.489, 10.956]",1,"(86.963, 88.898]",15,"(29.497, 32.965]",24,"(3.945, 4.183]",5,"(941.774, 1015.889]",39,"(-0.001, 0.00328]",0
9,-18.76752137,-35.64957265,-1.538461538,-4.688888889,13.37043478,88.35365854,12.84166667,81.62068966,47.30136986,4.681818182,1016.544444,0,0.106464255,0.122030348,0.128849114,0.367814457,0.130850282,0.142219169,0.040439926,0.224937931,0.608475573,0.212979138,0.818724154,0,"(-23.609, -16.875]",0,"(-36.58, -34.882]",1,"(-7.256, 0.658]",0,"(-4.901, -3.745]",1,"(13.011, 14.151]",18,"(87.911, 93.736]",17,"(12.754, 13.962]",3,"(80.247, 82.582]",12,"(39.69, 77.738]",26,"(4.611, 4.871]",8,"(1015.889, 1240.081]",40,"(-0.001, 0.00328]",0
