,Climate_ID,Mean_Temp,Min_Temp,Max_Temp,Mean_Diff_from_Normal,Snowfall,Percent_of_Normal_Snowfall,Total_Precip,Percent_of_Normal_Precip,Snow_on_Ground,Days_with_Precip,Heating_Degree_Days,Cooling_Degree_Days,Mean_Temp_Normalized,Min_Temp_Normalized,Max_Temp_Normalized,Mean_Diff_from_Normal_Normalized,Snowfall_Normalized,Percent_of_Normal_Snowfall_Normalized,Total_Precip_Normalized,Percent_of_Normal_Precip_Normalized,Snow_on_Ground_Normalized,Days_with_Precip_Normalized,Heating_Degree_Days_Normalized,Cooling_Degree_Days_Normalized,Unnamed: 0_Rolling_Average,Mean_Temp_Rolling_Average,Min_Temp_Rolling_Average,Max_Temp_Rolling_Average,Mean_Diff_from_Normal_Rolling_Average,Snowfall_Rolling_Average,Percent_of_Normal_Snowfall_Rolling_Average,Total_Precip_Rolling_Average,Percent_of_Normal_Precip_Rolling_Average,Snow_on_Ground_Rolling_Average,Days_with_Precip_Rolling_Average,Heating_Degree_Days_Rolling_Average,Cooling_Degree_Days_Rolling_Average,Unnamed: 0_Binned,Unnamed: 0_Binned_Encoded,Mean_Temp_Binned,Mean_Temp_Binned_Encoded,Min_Temp_Binned,Min_Temp_Binned_Encoded,Max_Temp_Binned,Max_Temp_Binned_Encoded,Mean_Diff_from_Normal_Binned,Mean_Diff_from_Normal_Binned_Encoded,Snowfall_Binned,Snowfall_Binned_Encoded,Percent_of_Normal_Snowfall_Binned,Percent_of_Normal_Snowfall_Binned_Encoded,Total_Precip_Binned,Total_Precip_Binned_Encoded,Percent_of_Normal_Precip_Binned,Percent_of_Normal_Precip_Binned_Encoded,Snow_on_Ground_Binned,Snow_on_Ground_Binned_Encoded,Days_with_Precip_Binned,Days_with_Precip_Binned_Encoded,Heating_Degree_Days_Binned,Heating_Degree_Days_Binned_Encoded,Cooling_Degree_Days_Binned,Cooling_Degree_Days_Binned_Encoded,Unnamed: 0_Rolling_Average_Binned,Unnamed: 0_Rolling_Average_Binned_Encoded,Mean_Temp_Rolling_Average_Binned,Mean_Temp_Rolling_Average_Binned_Encoded,Min_Temp_Rolling_Average_Binned,Min_Temp_Rolling_Average_Binned_Encoded,Max_Temp_Rolling_Average_Binned,Max_Temp_Rolling_Average_Binned_Encoded,Mean_Diff_from_Normal_Rolling_Average_Binned,Mean_Diff_from_Normal_Rolling_Average_Binned_Encoded,Snowfall_Rolling_Average_Binned,Snowfall_Rolling_Average_Binned_Encoded,Percent_of_Normal_Snowfall_Rolling_Average_Binned,Percent_of_Normal_Snowfall_Rolling_Average_Binned_Encoded,Total_Precip_Rolling_Average_Binned,Total_Precip_Rolling_Average_Binned_Encoded,Percent_of_Normal_Precip_Rolling_Average_Binned,Percent_of_Normal_Precip_Rolling_Average_Binned_Encoded,Snow_on_Ground_Rolling_Average_Binned,Snow_on_Ground_Rolling_Average_Binned_Encoded,Days_with_Precip_Rolling_Average_Binned,Days_with_Precip_Rolling_Average_Binned_Encoded,Heating_Degree_Days_Rolling_Average_Binned,Heating_Degree_Days_Rolling_Average_Binned_Encoded,Cooling_Degree_Days_Rolling_Average_Binned,Cooling_Degree_Days_Rolling_Average_Binned_Encoded
0,0,0.3518840579710144,-8.66849710982659,8.602305475504323,1.8915,18.861538461538466,36.08810572687225,107.79791122715405,63.11607142857143,19.377926421404684,11.515625,519.1168115942029,0.0,0.5269497153571711,0.6267723356965166,0.357437228226151,0.6845179117319922,0.1845891828924258,0.0580895062001967,0.3959594648429945,0.1673235521235521,0.2492738565223307,0.5691084485906142,0.4153369143932319,0.0,2.5,-7.325525568803463,-22.13095255213628,4.517094630888107,3.874614908484911,21.83847274885893,50.869790627727944,36.896269817195,50.23750677944588,29.51715937543827,6.948877788375451,769.9257355709087,0.0,"(-0.001, 40.366]",0,"(-0.788, 0.354]",14,"(-9.3, -8.327]",19,"(8.595, 9.173]",9,"(1.858, 2.002]",32,"(18.161, 19.788]",22,"(30.214, 37.363]",7,"(106.354, 113.279]",37,"(63.031, 65.731]",6,"(18.443, 20.015]",19,"(11.429, 11.768]",35,"(497.903, 531.605]",26,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-7.843, -7.307]",7,"(-22.637, -21.801]",10,"(3.946, 4.713]",1,"(3.557, 6.157]",40,"(20.734, 21.838]",27,"(46.259, 52.311]",11,"(34.927, 37.612]",2,"(48.512, 64.184]",0,"(29.35, 30.881]",32,"(6.847, 6.949]",9,"(756.027, 770.499]",35,"(-0.001, 0.00177]",0
1,1,-4.457322175732218,-18.16610878661088,8.743096234309624,6.969306930693069,4.954146341463415,16.724137931034484,5.833195020746888,22.025210084033613,6.722222222222222,1.7842323651452283,683.534309623431,0.0,0.4211827602672158,0.4490980472483614,0.3606108633198541,0.9289045315049796,0.0484839466814968,0.0269201415388885,0.0141999606183878,0.0393866000454235,0.0864733522717121,0.0619776142143695,0.5486707228276629,0.0,2.5,-7.325525568803463,-22.13095255213628,4.517094630888107,3.874614908484911,21.83847274885893,50.869790627727944,36.896269817195,50.23750677944588,29.51715937543827,6.948877788375451,769.9257355709087,0.0,"(-0.001, 40.366]",0,"(-5.42, -4.265]",10,"(-19.687, -17.857]",12,"(8.595, 9.173]",9,"(4.807, 8.447]",40,"(4.249, 5.509]",11,"(10.523, 16.775]",4,"(2.04, 8.489]",0,"(9.374, 35.963]",0,"(6.488, 8.348]",12,"(0.594, 2.446]",0,"(669.005, 702.516]",31,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-7.843, -7.307]",7,"(-22.637, -21.801]",10,"(3.946, 4.713]",1,"(3.557, 6.157]",40,"(20.734, 21.838]",27,"(46.259, 52.311]",11,"(34.927, 37.612]",2,"(48.512, 64.184]",0,"(29.35, 30.881]",32,"(6.847, 6.949]",9,"(756.027, 770.499]",35,"(-0.001, 0.00177]",0
2,2,-8.66578947368421,-24.72903225806452,4.388311688311688,6.29126213592233,6.587407407407407,34.56363636363636,7.125,35.327586206896555,28.44954128440367,2.68125,824.2276315789474,0.0,0.3286276170544696,0.3263237332826183,0.2624474811634517,0.8962713341994505,0.0644679198991313,0.0556356319736601,0.0190365241550944,0.0808037278657968,0.3659693363486563,0.108723780840591,0.6627654917085626,0.0,2.5,-7.325525568803463,-22.13095255213628,4.517094630888107,3.874614908484911,21.83847274885893,50.869790627727944,36.896269817195,50.23750677944588,29.51715937543827,6.948877788375451,769.9257355709087,0.0,"(-0.001, 40.366]",0,"(-9.294, -8.259]",6,"(-25.829, -24.569]",8,"(3.739, 4.741]",3,"(4.807, 8.447]",40,"(5.509, 6.688]",12,"(30.214, 37.363]",7,"(2.04, 8.489]",0,"(9.374, 35.963]",0,"(26.326, 29.497]",23,"(2.446, 3.056]",1,"(812.449, 847.712]",36,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-7.843, -7.307]",7,"(-22.637, -21.801]",10,"(3.946, 4.713]",1,"(3.557, 6.157]",40,"(20.734, 21.838]",27,"(46.259, 52.311]",11,"(34.927, 37.612]",2,"(48.512, 64.184]",0,"(29.35, 30.881]",32,"(6.847, 6.949]",9,"(756.027, 770.499]",35,"(-0.001, 0.00177]",0
3,3,-12.04957264957265,-29.18632478632479,2.5589743589743588,5.515873015873016,10.712820512820514,43.71604938271605,10.38529411764706,45.91860465116279,41.98717948717949,3.875,931.4376068376068,0.0,0.254209422906295,0.2429400042658029,0.2212114711023474,0.8589531122496965,0.104841436395399,0.0703678863303276,0.0312431806563473,0.1137790069138906,0.5401148671770959,0.1709335237059991,0.7497070549529872,0.0,2.5,-7.325525568803463,-22.13095255213628,4.517094630888107,3.874614908484911,21.83847274885893,50.869790627727944,36.896269817195,50.23750677944588,29.51715937543827,6.948877788375451,769.9257355709087,0.0,"(-0.001, 40.366]",0,"(-12.906, -11.526]",3,"(-30.12, -28.838]",5,"(0.658, 2.712]",1,"(4.807, 8.447]",40,"(10.699, 11.794]",16,"(43.464, 48.065]",9,"(8.489, 10.956]",1,"(44.166, 50.503]",2,"(39.69, 77.738]",26,"(3.691, 3.945]",4,"(891.391, 941.774]",38,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-7.843, -7.307]",7,"(-22.637, -21.801]",10,"(3.946, 4.713]",1,"(3.557, 6.157]",40,"(20.734, 21.838]",27,"(46.259, 52.311]",11,"(34.927, 37.612]",2,"(48.512, 64.184]",0,"(29.35, 30.881]",32,"(6.847, 6.949]",9,"(756.027, 770.499]",35,"(-0.001, 0.00177]",0
4,4,-7.284188034188034,-24.33162393162393,2.815384615384615,1.8008,42.976410256410254,87.45454545454545,46.6533039647577,72.24590163934427,35.673469387755105,10.58590308370044,756.8440170940171,0.0,0.3590126266178642,0.3337581540640341,0.226991343268917,0.680152667697323,0.4205903176486365,0.1407719041521858,0.1670318924144259,0.1957494018608773,0.45889653497675,0.5206579678791334,0.6081209797007464,0.0,2.5,-7.325525568803463,-22.13095255213628,4.517094630888107,3.874614908484911,21.83847274885893,50.869790627727944,36.896269817195,50.23750677944588,29.51715937543827,6.948877788375451,769.9257355709087,0.0,"(-0.001, 40.366]",0,"(-7.488, -6.566]",8,"(-24.569, -23.007]",9,"(2.712, 3.739]",2,"(1.685, 1.858]",31,"(40.008, 45.292]",30,"(83.156, 87.911]",16,"(44.152, 46.73]",17,"(71.586, 74.479]",9,"(32.965, 39.69]",25,"(10.445, 10.737]",32,"(749.607, 773.561]",34,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-7.843, -7.307]",7,"(-22.637, -21.801]",10,"(3.946, 4.713]",1,"(3.557, 6.157]",40,"(20.734, 21.838]",27,"(46.259, 52.311]",11,"(34.927, 37.612]",2,"(48.512, 64.184]",0,"(29.35, 30.881]",32,"(6.847, 6.949]",9,"(756.027, 770.499]",35,"(-0.001, 0.00177]",0
5,5,-11.84816513761468,-27.70412844036697,-0.0055045871559633,0.7789473684210527,46.93851351351351,86.67226890756302,43.58291457286432,62.79166666666666,44.89261744966443,11.251256281407036,904.3940366972477,0.0,0.2586388980081841,0.2706678362798483,0.1634042652206266,0.630972556293673,0.4593655959354775,0.1395127064910471,0.1555362459238014,0.1663135135135135,0.5774898530267172,0.5553314349735873,0.7277761641189912,0.0,2.5,-7.325525568803463,-22.13095255213628,4.517094630888107,3.874614908484911,21.83847274885893,50.869790627727944,36.896269817195,50.23750677944588,29.51715937543827,6.948877788375451,769.9257355709087,0.0,"(-0.001, 40.366]",0,"(-12.906, -11.526]",3,"(-28.838, -27.314]",6,"(-7.256, 0.658]",0,"(0.7, 0.808]",23,"(45.292, 55.882]",31,"(83.156, 87.911]",16,"(41.886, 44.152]",16,"(59.366, 63.031]",5,"(39.69, 77.738]",26,"(11.04, 11.429]",34,"(891.391, 941.774]",38,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-7.843, -7.307]",7,"(-22.637, -21.801]",10,"(3.946, 4.713]",1,"(3.557, 6.157]",40,"(20.734, 21.838]",27,"(46.259, 52.311]",11,"(34.927, 37.612]",2,"(48.512, 64.184]",0,"(29.35, 30.881]",32,"(6.847, 6.949]",9,"(756.027, 770.499]",35,"(-0.001, 0.00177]",0
6,6,-1.3077809798270894,-13.054441260744984,9.0,-1.3979899497487436,15.914201183431953,95.54424778761062,47.26276041666667,52.769911504424776,18.104234527687296,7.651041666666667,526.4455331412104,0.0,0.4904493639505332,0.5447233393059188,0.3664018599265769,0.5262000905606022,0.1557449514961661,0.1537935578070191,0.1693137189283768,0.1351106433867495,0.232889333046307,0.3677139058064394,0.4212801160994412,0.0,3.5,-7.60213640843648,-22.86194324395601,4.583377051637387,3.3263665835267875,21.347249869174508,60.779147637851,26.807078015447104,48.5131467920881,29.304877393152037,6.304780566153229,771.1471891620768,0.0,"(-0.001, 40.366]",0,"(-1.62, -0.788]",13,"(-14.259, -12.888]",15,"(8.595, 9.173]",9,"(-1.604, -1.355]",6,"(15.262, 17.018]",20,"(93.736, 99.193]",18,"(46.73, 49.319]",18,"(50.503, 55.119]",3,"(16.833, 18.443]",18,"(7.628, 7.874]",20,"(497.903, 531.605]",26,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-7.843, -7.307]",7,"(-23.527, -22.637]",9,"(3.946, 4.713]",1,"(3.096, 3.557]",39,"(20.734, 21.838]",27,"(59.737, 65.052]",13,"(23.384, 32.134]",0,"(48.512, 64.184]",0,"(27.48, 29.35]",31,"(6.176, 6.368]",4,"(770.499, 789.228]",36,"(-0.001, 0.00177]",0
7,7,-12.235021097046411,-30.2084388185654,8.50253164556962,-3.78469387755102,16.21746031746032,92.04504504504504,15.730331753554502,91.12389380530972,12.285714285714286,4.559241706161138,829.3607594936709,0.0,0.2501309291461395,0.2238190515914446,0.3551881762940437,0.411331897800288,0.1587128088567472,0.1481610383018833,0.0512551906325754,0.254526285577613,0.1580410263478281,0.2065913252541227,0.6669281842580472,0.0,4.5,-8.898419561988845,-24.868998249281763,4.543282953514052,1.5340331154861058,23.224468865173993,73.33263215685277,28.45660080424837,60.029594078967456,30.23212607040071,6.767282122989212,795.4515974737834,0.0,"(-0.001, 40.366]",0,"(-12.906, -11.526]",3,"(-31.573, -30.12]",4,"(8.041, 8.595]",8,"(-4.901, -3.745]",1,"(15.262, 17.018]",20,"(87.911, 93.736]",17,"(15.263, 16.625]",5,"(88.898, 91.187]",16,"(11.686, 13.166]",15,"(4.4, 4.611]",7,"(812.449, 847.712]",36,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-8.995, -8.532]",5,"(-25.07, -24.306]",7,"(3.946, 4.713]",1,"(1.518, 1.687]",32,"(22.946, 23.937]",29,"(70.134, 73.959]",15,"(23.384, 32.134]",0,"(48.512, 64.184]",0,"(29.35, 30.881]",32,"(6.759, 6.847]",8,"(789.228, 809.343]",37,"(-0.001, 0.00177]",0
8,8,-17.148026315789473,-34.496753246753244,3.194155844155844,-5.204901960784314,11.06015037593985,91.37614678899082,10.781410256410258,87.42608695652174,32.78504672897196,4.0256410256410255,983.9019736842106,0.0,0.1420811643666865,0.1435964397812926,0.2355294154713386,0.3429795839819513,0.1082405936676476,0.1470843409078323,0.0327262534914983,0.2430131139835488,0.4217404306669492,0.1787838604348867,0.7922528540474074,0.0,5.5,-10.312125702339722,-26.496951747396555,4.344256979488079,-0.3819942339650015,23.96992602659607,82.80138389441184,29.06600251365008,68.71267753723832,30.954710311162092,6.991347293929384,822.0639878246606,0.0,"(-0.001, 40.366]",0,"(-23.609, -16.875]",0,"(-34.882, -33.211]",2,"(2.712, 3.739]",2,"(-12.331999999999999, -4.901]",0,"(10.699, 11.794]",16,"(87.911, 93.736]",17,"(8.489, 10.956]",1,"(86.963, 88.898]",15,"(29.497, 32.965]",24,"(3.945, 4.183]",5,"(941.774, 1015.889]",39,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-10.318, -9.682]",3,"(-27.152, -26.237]",5,"(3.946, 4.713]",1,"(-0.463, -0.357]",11,"(23.937, 24.77]",30,"(81.101, 84.421]",18,"(23.384, 32.134]",0,"(64.184, 68.767]",1,"(30.881, 36.73]",33,"(6.949, 7.023]",10,"(809.343, 827.13]",38,"(-0.001, 0.00177]",0
9,9,-18.76752136752137,-35.64957264957265,-1.5384615384615383,-4.688888888888888,13.370434782608696,88.35365853658537,12.841666666666669,81.62068965517241,47.3013698630137,4.681818181818182,1016.5444444444444,0.0,0.106464255446348,0.1220303477914677,0.1288491138805644,0.3678144570128537,0.1308502822540648,0.1422191686705599,0.0404399263679362,0.2249379310344827,0.6084755730890973,0.2129791376369271,0.8187241542152145,0.0,6.5,-11.431783821997842,-27.574159724604527,3.661350996582096,-2.0827878847586523,24.412861738227434,90.24098542005673,29.475397938486683,74.66302503790659,31.840408707134458,7.125816990899081,836.2484607591335,0.0,"(-0.001, 40.366]",0,"(-23.609, -16.875]",0,"(-36.58, -34.882]",1,"(-7.256, 0.658]",0,"(-4.901, -3.745]",1,"(13.011, 14.151]",18,"(87.911, 93.736]",17,"(12.754, 13.962]",3,"(80.247, 82.582]",12,"(39.69, 77.738]",26,"(4.611, 4.871]",8,"(1015.889, 1240.081]",40,"(-0.001, 0.00328]",0,"(2.499, 37.866]",0,"(-12.288, -11.25]",1,"(-27.796, -27.152]",4,"(-0.17, 3.946]",0,"(-2.399, -2.064]",2,"(23.937, 24.77]",30,"(87.601, 90.53]",20,"(23.384, 32.134]",0,"(73.693, 76.424]",4,"(30.881, 36.73]",33,"(7.124, 7.224]",12,"(827.13, 862.674]",39,"(-0.001, 0.00177]",0
