"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-08","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","332832","","","","0"
"2001-09","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","71065","","","","0"
"2001-10","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","24441","","","","0"
"2001-11","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","9526","","","","0"
"2001-12","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","7097","","","","0"
"2002-01","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","14673","","","","0"
"2002-02","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","14622","","","","0"
"2002-03","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","34477","","","","0"
"2002-04","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","14894","","","","0"
"2002-05","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","3446","","","","0"
"2002-06","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","2445","","","","0"
"2002-07","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","391807","","","","0"
"2002-08","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","565573","","","","0"
"2002-09","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","111463","","","","0"
"2002-10","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","71577","","","","0"
"2002-11","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","15272","","","","0"
"2002-12","Ontario","2016A000235","Wheat, excluding durum","Tonnes","288","units","0","v32861700","10.3","8735","","","","0"
