"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-01","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","312009","","","","0"
"2001-02","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","192954","","","","0"
"2001-03","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","213051","","","","0"
"2001-04","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","287132","","","","0"
"2001-05","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","299690","","","","0"
"2001-06","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","409976","","","","0"
"2001-07","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","489186","","","","0"
"2001-08","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","230522","","","","0"
"2001-09","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","230587","","","","0"
"2001-10","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","306281","","","","0"
"2001-11","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","267575","","","","0"
"2001-12","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","258914","","","","0"
"2002-01","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","233901","","","","0"
"2002-02","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","237882","","","","0"
"2002-03","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","274999","","","","0"
"2002-04","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","312499","","","","0"
"2002-05","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","282219","","","","0"
"2002-06","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","284160","","","","0"
"2002-07","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","315885","","","","0"
"2002-08","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","210926","","","","0"
"2002-09","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","291837","","","","0"
"2002-10","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","384071","","","","0"
"2002-11","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","319188","","","","0"
"2002-12","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","317102","","","","0"
"2003-01","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","169151","","","","0"
"2003-02","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","219940","","","","0"
"2003-03","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","210634","","","","0"
"2003-04","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","292591","","","","0"
"2003-05","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","194485","","","","0"
"2003-06","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","210855","","","","0"
"2003-07","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","218896","","","","0"
"2003-08","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","350158","","","","0"
"2003-09","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","277186","","","","0"
"2003-10","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","308699","","","","0"
"2003-11","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","300937","","","","0"
"2003-12","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","378796","","","","0"
"2004-01","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","161998","","","","0"
"2004-02","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","121859","","","","0"
"2004-03","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","383218","","","","0"
"2004-04","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","200625","","","","0"
"2004-05","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","163543","","","","0"
"2004-06","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","450539","","","","0"
"2004-07","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","443934","","","","0"
"2004-08","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","60900","","","","0"
"2004-09","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","345370","","","","0"
"2004-10","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","311366","","","","0"
"2004-11","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","386779","","","","0"
"2004-12","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","380674","","","","0"
"2005-01","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","260466","","","","0"
"2005-02","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","234694","","","","0"
"2005-03","Manitoba","2016A000246","Wheat, excluding durum","Tonnes","288","units","0","v40097","4.3","341957","","","","0"
