,Date_ID,Total_Value_Binned_Encoded,Month,NumberOfDaysInMonth,Quarter,Year,LeapYear,Minimum Temperature,Maximum Temperature,Barley,Canola,Durum,Flaxseed,Oats,Rye,Wheat,Avena sativa,Brassica napus,Hordeum,Linum usitatissimum,Secale,Triticum,Brassicaceae,Grass,Linaceae,Mean_Temp_Binned_Encoded,Min_Temp_Binned_Encoded,Max_Temp_Binned_Encoded,Mean_Diff_from_Normal_Binned_Encoded,Snowfall_Binned_Encoded,Percent_of_Normal_Snowfall_Binned_Encoded,Total_Precip_Binned_Encoded,Percent_of_Normal_Precip_Binned_Encoded,Snow_on_Ground_Binned_Encoded,Days_with_Precip_Binned_Encoded,Heating_Degree_Days_Binned_Encoded,Cooling_Degree_Days_Binned_Encoded,Mean_Temp_Rolling_Average_Binned_Encoded,Min_Temp_Rolling_Average_Binned_Encoded,Max_Temp_Rolling_Average_Binned_Encoded,Mean_Diff_from_Normal_Rolling_Average_Binned_Encoded,Snowfall_Rolling_Average_Binned_Encoded,Percent_of_Normal_Snowfall_Rolling_Average_Binned_Encoded,Total_Precip_Rolling_Average_Binned_Encoded,Percent_of_Normal_Precip_Rolling_Average_Binned_Encoded,Snow_on_Ground_Rolling_Average_Binned_Encoded,Days_with_Precip_Rolling_Average_Binned_Encoded,Heating_Degree_Days_Rolling_Average_Binned_Encoded,Cooling_Degree_Days_Rolling_Average_Binned_Encoded,Area_Binned_Encoded,Land_Binned_Encoded,LandOfArea_Percent_Binned_Encoded,Freshwater_Binned_Encoded,FreshwaterOfArea_Percent_Binned_Encoded,Alberta,Atlantic,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prairies,Prince Edward Island,Quebec,Saskatchewan,Territories,Yukon,Atlantic_Region,British Columbia_Region,Canada_Region,Prairies_Region,Territories_Region
0,0,1,1,31,1,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,3,6,0,23,31,16,16,5,26,34,38,0,7,10,1,40,27,11,2,0,32,9,35,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,1,1,2,28,1,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,3,5,3,11,32,23,27,30,26,36,35,0,1,4,2,1,33,24,3,17,33,13,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2,2,1,3,31,1,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,9,6,8,11,32,27,23,20,26,23,32,0,13,12,11,20,32,23,5,6,28,7,28,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3,3,1,4,30,2,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,18,19,20,15,12,6,13,1,7,17,23,1,20,20,23,17,20,17,3,5,11,6,20,6,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4,4,1,5,31,2,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,28,26,29,33,5,3,24,10,0,24,13,8,27,27,28,29,12,5,24,13,5,31,13,10,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
5,5,1,6,30,2,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,34,31,38,27,0,1,35,20,0,34,7,17,31,32,31,12,8,4,37,15,2,40,9,18,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
6,6,1,7,31,3,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,36,36,34,8,0,0,35,17,0,37,4,17,37,37,37,16,2,0,36,16,0,34,3,24,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
7,7,1,8,31,3,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,39,35,37,30,0,0,33,16,0,31,3,20,40,36,40,31,0,0,18,3,0,8,2,26,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
8,8,1,9,30,3,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,29,28,31,26,1,1,30,11,1,29,11,13,29,29,30,28,6,2,15,2,1,10,11,14,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
9,9,1,10,31,4,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,23,22,20,30,9,11,36,25,3,39,18,3,21,21,20,15,17,17,32,15,9,37,20,5,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
10,10,1,11,30,4,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,16,17,15,34,23,14,29,14,12,38,24,0,17,17,15,40,24,15,26,10,17,33,24,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
11,11,1,12,31,4,2001,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,11,13,13,40,27,11,19,6,16,36,30,0,8,12,8,34,34,17,19,7,23,31,34,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
12,12,1,1,31,1,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,5,8,2,39,31,16,18,7,23,38,36,0,4,4,6,36,37,22,13,6,27,35,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
13,13,1,2,28,1,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,6,7,6,31,30,18,22,18,24,35,33,0,8,7,9,36,29,17,7,10,26,11,30,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
14,14,1,3,31,1,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,9,11,12,12,31,26,30,31,20,38,32,0,6,6,10,0,38,35,17,31,24,37,37,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
15,15,1,4,30,2,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,18,16,21,18,20,25,30,24,6,35,22,6,18,16,19,2,23,32,16,24,12,26,23,8,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
16,16,1,5,31,2,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,24,25,25,5,9,25,37,33,0,38,17,7,23,22,25,2,19,35,23,11,7,28,17,10,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
17,17,1,6,30,2,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,31,29,30,7,3,22,36,28,0,36,10,13,33,31,39,22,13,13,39,24,0,36,8,20,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
18,18,1,7,31,3,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,39,37,39,23,0,0,33,14,0,32,3,21,40,38,40,28,7,0,25,6,4,22,2,26,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
19,19,1,8,31,3,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,38,35,38,27,0,0,17,2,0,19,3,20,35,34,35,13,9,3,28,25,0,28,6,22,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
20,20,1,9,30,3,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,31,29,36,33,1,2,34,22,0,27,10,15,29,27,29,25,11,9,25,17,4,22,12,16,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
21,21,1,10,31,4,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,20,20,22,5,12,28,30,14,4,33,21,6,18,18,19,1,19,28,4,3,12,19,23,8,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
22,22,1,11,30,4,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,12,13,16,5,32,30,32,19,15,39,28,0,14,16,13,24,27,25,21,2,16,26,26,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
23,23,1,12,31,4,2002,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,8,8,3,22,25,8,17,3,15,29,34,0,10,10,5,38,29,16,12,8,21,20,32,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
24,24,1,1,31,1,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,2,4,0,4,28,12,12,2,23,26,39,0,2,2,5,13,35,18,14,8,27,29,40,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
25,25,1,2,28,1,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,2,2,2,2,30,19,18,14,26,25,37,0,1,1,0,1,32,28,1,27,32,12,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
26,26,1,3,31,1,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,8,5,13,6,30,22,27,28,18,36,33,0,10,1,14,3,30,25,21,21,18,35,32,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
27,27,1,4,30,2,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,15,13,18,4,20,25,26,19,6,28,26,0,19,18,20,10,25,35,22,39,11,28,21,4,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
28,28,1,5,31,2,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,25,25,27,15,4,2,33,27,0,36,15,5,26,25,27,16,15,21,27,18,7,34,14,9,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
29,29,1,6,30,2,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,33,30,39,20,2,7,28,12,0,26,8,17,32,32,37,18,7,4,29,6,1,35,8,18,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
30,30,1,7,31,3,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,38,39,30,17,0,0,36,22,0,39,2,18,39,39,38,22,3,0,22,3,0,31,1,25,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
31,31,1,8,31,3,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,38,35,31,26,0,0,36,24,0,34,4,20,40,36,40,33,3,4,19,4,0,11,2,26,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
32,32,1,9,30,3,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,31,30,28,33,0,0,28,13,0,26,9,11,28,28,31,23,12,17,28,21,1,30,12,15,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
33,33,1,10,31,4,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,21,23,22,14,11,22,39,36,3,38,19,1,22,20,24,29,19,28,40,33,15,36,19,5,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
34,34,1,11,30,4,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,15,17,15,23,24,15,38,33,10,36,26,0,12,14,11,4,26,18,31,15,19,24,29,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
35,35,1,12,31,4,2003,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,8,10,4,26,32,26,39,39,20,39,33,0,9,10,4,35,37,20,30,17,24,28,34,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
36,36,1,1,31,1,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,1,2,1,1,31,17,18,8,25,34,40,0,0,0,0,0,39,34,25,37,33,40,40,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
37,37,1,2,29,1,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,4,3,3,19,30,18,16,9,26,22,35,0,7,4,5,30,25,14,0,1,33,2,33,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
38,38,1,3,31,1,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,12,12,13,35,21,12,17,16,18,21,27,0,14,13,16,32,26,21,17,34,20,32,27,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
39,39,1,4,30,2,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,17,18,21,15,18,14,27,21,8,35,23,5,20,20,21,20,17,11,2,5,11,8,20,5,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
40,40,1,5,31,2,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,25,24,25,15,9,28,33,25,0,37,16,7,24,24,24,5,20,35,39,38,7,40,16,9,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
41,41,1,6,30,2,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,30,30,27,7,3,19,31,13,0,34,10,12,30,31,30,7,7,9,27,6,2,36,10,15,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
