"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-08","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","710","","","","0"
"2001-09","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","710","","","","0"
"2001-10","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","710","","","","0"
"2001-11","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1130","","","","0"
"2001-12","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","710","","","","0"
"2002-01","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","710","","","","0"
"2002-02","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","450","","","","0"
"2002-03","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","450","","","","0"
"2002-04","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","450","","","","0"
"2002-05","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","599","","","","0"
"2002-06","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1513","","","","0"
"2002-07","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1787","","","","0"
"2002-08","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","3604","","","","0"
"2002-09","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1362","","","","0"
"2002-10","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1167","","","","0"
"2002-11","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","3380","","","","0"
"2002-12","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1954","","","","0"
"2003-01","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1568","","","","0"
"2003-02","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2620","","","","0"
"2003-03","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1682","","","","0"
"2003-04","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2375","","","","0"
"2003-05","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2923","","","","0"
"2003-06","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1707","","","","0"
"2003-07","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2657","","","","0"
"2003-08","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2048","","","","0"
"2003-09","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2118","","","","0"
"2003-10","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2400","","","","0"
"2003-11","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2156","","","","0"
"2003-12","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1949","","","","0"
"2004-01","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2219","","","","0"
"2004-02","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1950","","","","0"
"2004-03","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1898","","","","0"
"2004-04","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1800","","","","0"
"2004-05","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1965","","","","0"
"2004-06","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2300","","","","0"
"2004-07","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1900","","","","0"
"2004-08","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","11184","","","","0"
"2004-09","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","22634","","","","0"
"2004-10","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","12986","","","","0"
"2004-11","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6335","","","","0"
"2004-12","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2652","","","","0"
"2005-01","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","4035","","","","0"
"2005-02","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6108","","","","0"
"2005-03","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6811","","","","0"
"2005-04","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","8567","","","","0"
"2005-05","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","8223","","","","0"
"2005-06","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6608","","","","0"
"2005-07","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","7547","","","","0"
"2005-08","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","23305","","","","0"
"2005-09","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","25630","","","","0"
"2005-10","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","7590","","","","0"
"2005-11","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2221","","","","0"
"2005-12","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1636","","","","0"
"2006-01","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","1886","","","","0"
"2006-02","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6434","","","","0"
"2006-03","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","7814","","","","0"
"2006-04","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6518","","","","0"
"2006-05","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","8536","","","","0"
"2006-06","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6607","","","","0"
"2006-07","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","17007","","","","0"
"2006-08","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","23265","","","","0"
"2006-09","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","19314","","","","0"
"2006-10","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","5633","","","","0"
"2006-11","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","3142","","","","0"
"2006-12","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","2782","","","","0"
"2007-01","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","5810","","","","0"
"2007-02","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6833","","","","0"
"2007-03","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","7783","","","","0"
"2007-04","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","5003","","","","0"
"2007-05","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","6774","","","","0"
"2007-06","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","7611","","","","0"
"2007-07","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","3479","","","","0"
"2007-08","Quebec","2016A000224","Wheat, excluding durum","Tonnes","288","units","0","v32861696","9.3","18310","","","","0"
