Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD
-123.392,48.573,CENTRAL SAANICH ISL VIEW,10114F6,BC,,,NA,,,,,0,0,0,94.4,0,67,0,10,,,NA,,
-123.741,48.934,CHEMAINUS,1011500,BC,5.5,1,NA,11,1,-0.5,0,0,0,NA,131.4,0,NA,0,11,,,NA,375.2,0
-123.481,48.418,COLWOOD HATLEY DR,1011810,BC,,,NA,,,,,0,0,0,106.3,0,66,0,9,,,NA,,
-123.557,48.711,COWICHAN BAY CHERRY POINT,1012010,BC,,,NA,,,,,0,0,NA,116.7,0,NA,0,10,,,NA,,
-124.133,48.824,COWICHAN LAKE FORESTRY,1012040,BC,4,0,0.6,10,0,-4,0,0,0,0,223.9,0,62,0,17,47.6,0,101,435.2,0
-124.052,48.829,LAKE COWICHAN,1012055,BC,4.2,0,0.7,11,0,-3.5,0,0,0,0,224,0,65,0,16,,,NA,429.2,0
-123.226,48.425,DISCOVERY ISLAND,1012475,BC,8,0,NA,14,0,2.5,0,,,NA,,,NA,,,,,NA,309,0
-123.728,48.735,DUNCAN KELVIN CREEK,1012573,BC,4.3,0,0.7,12.5,0,-3,0,0,0,0,141.6,0,57,0,14,,,NA,424.9,0
-123.439,48.432,ESQUIMALT HARBOUR,1012710,BC,6.6,0,NA,13.1,0,-0.1,0,,,NA,90.2,0,NA,,14,,,NA,354.9,0
-123.498,48.872,GANGES MANSELL RD,1013051,BC,5,0,NA,12,0,-2,0,0,0,NA,113,0,NA,0,13,,,NA,403.3,0
-123.574,48.985,GALIANO NORTH,10130MN,BC,5.6,0,NA,10.5,0,0.5,0,0,0,NA,105.6,0,NA,0,11,,,NA,383.2,0
-124.194,48.831,HONEYMOON BAY NORTHWEST,1013519,BC,,,NA,,,,,0,0,NA,248.2,0,NA,0,20,,,NA,,
-123.53,48.575,MALAHAT,1014820,BC,4.1,0,NA,12.7,0,-2,0,,,NA,121.8,0,NA,,13,,,NA,430.7,0
-123.32,48.845,MAYNE ISLAND,1014931,BC,5.4,0,0.8,11,0,-1,0,0,0,0,93.2,0,72,0,11,,,NA,390.4,0
-123.561,48.374,METCHOSIN,1015105,BC,,,NA,,,,,0,0,0,113.8,0,68,0,13,,,NA,,
-123.558,48.645,MILL BAY 1 SOUTHWEST,1015136,BC,,,NA,,,,,0,0,NA,128,0,NA,0,7,,,NA,,
-123.72,48.825,NORTH COWICHAN,1015628,BC,,,NA,,,,,0,0,0,123.8,0,64,0,11,,,NA,,
-123.317,48.813,NORTH PENDER ISLAND,1015638,BC,5.8,0,NA,11.5,0,-1,0,0,0,NA,100.8,0,NA,0,11,,,NA,379.6,0
-123.991,48.406,POINT-NO-POINT,1016203,BC,6.9,0,NA,13.5,0,0.5,0,0,0,NA,181.2,0,NA,0,17,,,NA,342.8,0
-124.326,48.591,PORT RENFREW,1016335,BC,4.9,0,0.9,10,0,-2,0,0,0,0,355.4,0,64,0,20,,,NA,405.7,0
-123.419,48.622,SAANICHTON CDA,1016940,BC,5.6,0,0.8,11.5,0,-1,0,0,0,0,103.2,0,71,0,13,62.2,0,104,384.7,0
