"REF_DATE","GEO","DGUID","Farm products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","144.96","","","","2"
"2001-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","145.04","","","","2"
"2001-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","137.06","","","","2"
"2001-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","144.89","","","","2"
"2001-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","151.40","","","","2"
"2001-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","146.16","","","","2"
"2001-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","150.88","","","","2"
"2001-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","150.24","","","","2"
"2001-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","158.88","","","","2"
"2001-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","160.21","","","","2"
"2001-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","161.30","","","","2"
"2001-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","161.10","","","","2"
"2002-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","167.65","","","","2"
"2002-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","175.33","","","","2"
"2002-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","182.74","","","","2"
"2002-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","179.44","","","","2"
"2002-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","185.19","","","","2"
"2002-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","182.44","","","","2"
"2002-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","192.89","","","","2"
"2002-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","182.41","","","","2"
"2002-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","196.69","","","","2"
"2002-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","209.04","","","","2"
"2002-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","188.87","","","","2"
"2002-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","194.89","","","","2"
"2003-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","188.79","","","","2"
"2003-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","199.79","","","","2"
"2003-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","195.71","","","","2"
"2003-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","197.21","","","","2"
"2003-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","191.10","","","","2"
"2003-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","181.50","","","","2"
"2003-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","179.72","","","","2"
"2003-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","145.89","","","","2"
"2003-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","160.80","","","","2"
"2003-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","144.72","","","","2"
"2003-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","162.89","","","","2"
"2003-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","152.13","","","","2"
"2004-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","152.45","","","","2"
"2004-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","162.55","","","","2"
"2004-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","157.95","","","","2"
"2004-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","166.18","","","","2"
"2004-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","166.37","","","","2"
"2004-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","162.35","","","","2"
"2004-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","171.43","","","","2"
"2004-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","137.33","","","","2"
"2004-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","141.08","","","","2"
"2004-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","142.07","","","","2"
"2004-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","147.03","","","","2"
"2004-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","144.50","","","","2"
"2005-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","134.46","","","","2"
"2005-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","137.66","","","","2"
"2005-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","137.73","","","","2"
"2005-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","125.92","","","","2"
"2005-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","130.80","","","","2"
"2005-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","132.67","","","","2"
"2005-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","130.00","","","","2"
"2005-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","107.27","","","","2"
"2005-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","111.81","","","","2"
"2005-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","150.88","","","","2"
"2005-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","120.56","","","","2"
"2005-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","126.34","","","","2"
"2006-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","143.92","","","","2"
"2006-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","147.67","","","","2"
"2006-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","162.16","","","","2"
"2006-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","149.99","","","","2"
"2006-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","144.12","","","","2"
"2006-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","146.37","","","","2"
"2006-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","140.28","","","","2"
