Region,Area%,Area_skm,Land_skm,Freshwater_skm
Canada,100.0,9984670,9093507,891163
Newfoundland and Labrador,4.1,405212,373872,31340
Prince Edward Island,0.1,5660,5660,
Nova Scotia,0.6,55284,53338,1946
New Brunswick,0.7,72908,71450,1458
Quebec,15.4,1542056,1365128,176928
Ontario,10.8,1076395,917741,158654
Manitoba,6.5,647797,553556,94241
Saskatchewan,6.5,651036,591670,59366
Alberta,6.6,661848,642317,19531
British Columbia,9.5,944735,925186,19549
Yukon,4.8,482443,474391,8052
Northwest Territories,13.5,1346106,1183085,163021
Nunavut, 21.0,2093190,1936113,157077
