Region_ID,Name_EN,Name_FR,Abbrev_EN,Abbrev_FR,AlphaCode,NumericCode,GeographicRegion,Area_Percent,Area,Land,LandOfArea_Percent,Freshwater,FreshwaterOfArea_Percent,EffectiveDate,Population_Lower,Population_Upper
0,Newfoundland and Labrador,Terre-Neuve-et-Labrador,N.L.,T.-N.-L.,NL,10,Atlantic,4.1,405212.0,373872.0,92.2657769266458,31340.0,7.734223073354195,2001-01-01,0,1000000
1,Prince Edward Island,Île-du-Prince-Édouard,P.E.I.,Î.-P.-É.,PE,11,Atlantic,0.1,5660.0,5660.0,100.0,0.0,0.0,2001-01-01,0,1000000
2,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,NS,12,Atlantic,0.6,55284.0,53338.0,96.47999421170682,1946.0,3.520005788293177,2001-01-01,0,1000000
3,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,NS,12,Atlantic,0.6,55284.0,53338.0,96.47999421170682,1946.0,3.520005788293177,2021-10-01,1000000,5000000
4,New Brunswick,Nouveau-Brunswick,N.B.,N.-B.,NB,13,Atlantic,0.7,72908.0,71450.0,98.00021945465518,1458.0,1.9997805453448183,2001-01-01,0,1000000
5,Quebec,Québec,Que.,Qc,QC,24,Canada,15.4,1542056.0,1365128.0,88.52648671643571,176928.0,11.47351328356428,2001-01-01,5000000,10000000
6,Ontario,Ontario,Ont.,Ont.,ON,35,Canada,10.8,1076395.0,917741.0,85.26061529457122,158654.0,14.739384705428767,2001-01-01,10000000,15000000
7,Ontario,Ontario,Ont.,Ont.,ON,35,Canada,10.8,1076395.0,917741.0,85.26061529457122,158654.0,14.739384705428767,2022-04-01,15000000,50000000
8,Manitoba,Manitoba,Man.,Man.,MB,46,Prairies,6.5,647797.0,553556.0,85.45207835170586,94241.0,14.54792164829414,2001-01-01,1000000,5000000
9,Saskatchewan,Saskatchewan,Sask.,Sask.,SK,47,Prairies,6.5,651036.0,591670.0,90.88130303086159,59366.0,9.11869696913842,2001-01-01,1000000,5000000
10,Saskatchewan,Saskatchewan,Sask.,Sask.,SK,47,Prairies,6.5,651036.0,591670.0,90.88130303086159,59366.0,9.11869696913842,2001-10-01,0,1000000
11,Saskatchewan,Saskatchewan,Sask.,Sask.,SK,47,Prairies,6.5,651036.0,591670.0,90.88130303086159,59366.0,9.11869696913842,2007-07-01,1000000,5000000
12,Alberta,Alberta,Alta.,Alb.,AB,48,Prairies,6.6,661848.0,642317.0,97.04902031886475,19531.0,2.9509796811352453,2001-01-01,1000000,5000000
13,British Columbia,Colombie-Britannique,B.C.,C.-B.,BC,59,Canada,9.5,944735.0,925186.0,97.93074248334189,19549.0,2.0692575166581104,2001-01-01,1000000,5000000
14,British Columbia,Colombie-Britannique,B.C.,C.-B.,BC,59,Canada,9.5,944735.0,925186.0,97.93074248334189,19549.0,2.0692575166581104,2018-07-01,5000000,10000000
15,Yukon,Yukon,Y.T.,Yn,YT,60,Territories,4.8,482443.0,474391.0,98.33099454236044,8052.0,1.6690054576395552,2001-01-01,0,1000000
16,Northwest Territories,Territoires du Nord-Ouest,N.W.T.,T.N.-O.,NT,61,Territories,13.5,1346106.0,1183085.0,87.88943812745802,163021.0,12.110561872541984,2001-01-01,0,1000000
17,Nunavut,Nunavut,Nvt.,Nt,NU,62,Territories,21.0,2093190.0,1936113.0,92.4958078339759,157077.0,7.504192166024107,2001-01-01,0,1000000
18,Atlantic,,,,,1,Canada,5.5,539064.0,504320.0,93.55475416648116,34744.0,6.44524583351884,2001-01-01,1000000,5000000
19,Prairies,,,,,4,Canada,19.6,1960681.0,1787543.0,91.16949672078222,173138.0,8.830503279217782,2001-01-01,5000000,10000000
20,Territories,,,,,6,Canada,39.3,3921739.0,3593589.0,91.63253852436381,328150.0,8.36746147563619,2001-01-01,0,1000000
21,Canada,,,,,0,,100.0,9984670.0,9093507.0,91.07468749593126,891163.0,8.925312504068737,2001-01-01,15000000,50000000
