,index,criterion,max_depth / min_samples,accuracy,precision,recall,f1,training_time,Technique
0,0,gini,5,0.9046025104602511,0.849567433927659,0.9046025104602511,0.8687724596276749,5.9493207931518555,max_depth
1,1,entropy,5,0.8928870292887029,0.797247247072005,0.8928870292887029,0.8423611496472555,5.797977924346924,max_depth
2,2,gini,10,0.9389121338912134,0.9304956530602604,0.9389121338912134,0.9324828006516415,6.289586067199707,max_depth
3,3,entropy,10,0.9389121338912134,0.9312394567675318,0.9389121338912134,0.9329590108739756,6.71068549156189,max_depth
4,4,gini,15,0.9330543933054394,0.9282751740335007,0.9330543933054394,0.928693263824034,7.247635841369629,max_depth
5,5,entropy,15,0.9355648535564853,0.9310888076573951,0.9355648535564853,0.9313506433199195,8.01993179321289,max_depth
6,6,gini,20,0.9322175732217574,0.9270492802244444,0.9322175732217574,0.9276390673982848,7.596372127532959,max_depth
7,7,entropy,20,0.9364016736401674,0.9326867054566063,0.9364016736401674,0.9326146619824793,8.373363494873047,max_depth
8,8,gini,25,0.9347280334728033,0.9302025020815768,0.9347280334728033,0.930517630768443,7.629859924316406,max_depth
9,9,entropy,25,0.9364016736401674,0.9322673310020956,0.9364016736401674,0.9324035542027572,8.280432939529419,max_depth
10,10,gini,30,0.9347280334728033,0.9302025020815768,0.9347280334728033,0.930517630768443,7.769773483276367,max_depth
11,11,entropy,30,0.9364016736401674,0.9322673310020956,0.9364016736401674,0.9324035542027572,8.380329370498657,max_depth
12,12,gini,35,0.9347280334728033,0.9302025020815768,0.9347280334728033,0.930517630768443,7.717550039291382,max_depth
13,13,entropy,35,0.9364016736401674,0.9322673310020956,0.9364016736401674,0.9324035542027572,8.33059024810791,max_depth
14,14,gini,40,0.9347280334728033,0.9302025020815768,0.9347280334728033,0.930517630768443,7.5405824184417725,max_depth
15,15,entropy,40,0.9364016736401674,0.9322673310020956,0.9364016736401674,0.9324035542027572,8.426055192947388,max_depth
16,16,gini,45,0.9347280334728033,0.9302025020815768,0.9347280334728033,0.930517630768443,7.712297677993774,max_depth
17,17,entropy,45,0.9364016736401674,0.9322673310020956,0.9364016736401674,0.9324035542027572,8.329366445541382,max_depth
18,0,gini,5,0.9347280334728033,0.9268497547584745,0.9347280334728033,0.9301122757409624,7.993715286254883,Min Samples Split
19,1,entropy,5,0.9347280334728033,0.9300823703468746,0.9347280334728033,0.9304335293013862,7.562237501144409,Min Samples Split
20,2,gini,10,0.9372384937238494,0.9300959101587757,0.9372384937238494,0.9315667746886244,7.110658884048462,Min Samples Split
21,3,entropy,10,0.9364016736401674,0.9307461132191409,0.9364016736401674,0.9316213443483943,7.174194574356079,Min Samples Split
22,4,gini,15,0.9380753138075314,0.9297530018696147,0.9380753138075314,0.9315841163287089,6.025946378707886,Min Samples Split
23,5,entropy,15,0.9389121338912134,0.931032244175382,0.9389121338912134,0.9328438927672257,6.643794059753418,Min Samples Split
24,6,gini,20,0.9380753138075314,0.929155964415397,0.9380753138075314,0.931254602776327,5.859084606170654,Min Samples Split
25,7,entropy,20,0.9389121338912134,0.9307684109208536,0.9389121338912134,0.9327026754765441,6.6946704387664795,Min Samples Split
26,8,gini,25,0.9364016736401674,0.9282322615238564,0.9364016736401674,0.9299668126658419,6.073594093322754,Min Samples Split
27,9,entropy,25,0.9355648535564853,0.9270428815548406,0.9355648535564853,0.9291824925419019,7.55877423286438,Min Samples Split
28,10,gini,30,0.9389121338912134,0.931141540932336,0.9389121338912134,0.9323780878860937,6.931363582611084,Min Samples Split
29,11,entropy,30,0.9364016736401674,0.9280108629419997,0.9364016736401674,0.9299471948754725,8.090415954589844,Min Samples Split
30,12,gini,35,0.9372384937238494,0.9280980023028673,0.9372384937238494,0.9298918594778951,6.013356447219849,Min Samples Split
31,13,entropy,35,0.9372384937238494,0.9277684945257594,0.9372384937238494,0.9301176668755348,7.284829378128052,Min Samples Split
32,14,gini,40,0.9364016736401674,0.9215274583093874,0.9364016736401674,0.9280286037801171,6.253012180328369,Min Samples Split
33,15,entropy,40,0.9338912133891213,0.9180264700961412,0.9338912133891213,0.9252857290446495,6.287327527999878,Min Samples Split
34,16,gini,45,0.9322175732217574,0.9156094660453761,0.9322175732217574,0.9225564209019258,5.860124826431274,Min Samples Split
35,17,entropy,45,0.9330543933054394,0.9165394472790231,0.9330543933054394,0.9239633582386242,6.192039489746094,Min Samples Split
